customer_id,final_score,churn_prob,purchase_prob,expected_revenue,selected
C00001,91419.98954931724,0.1833607415369305,0.7892937175060516,111946.6013933391,1
C00002,58380.466439060365,0.1979612226091719,0.9751296823017304,72790.07958814934,1
C00003,50682.06299783555,0.0247466107862095,0.9919196519046632,51968.09727438462,1
C00004,47741.53701062634,0.0162665912013712,0.9940755158203944,48530.9704678324,1
C00005,47150.75730101233,0.0172464093916638,0.9077766161350284,47978.20913767962,1
C00006,44356.37308388589,0.0521611193292808,0.990116865953227,46797.37663061257,1
C00007,43190.27170592605,0.0508663822575812,0.953593410979684,45504.94355964037,1
C00008,43148.54316545736,0.0044698424269172,0.9942336857950118,43342.2763109914,1
C00009,42178.0948384489,0.0008611382571931,0.9992682584321044,42214.44731403729,1
C00010,37941.55897839347,0.1596539458331424,0.9692911756545936,45149.92221390244,1
C00011,37135.2494162625,0.0265492756349285,0.973567030873595,38148.05257912134,1
C00012,37106.97125866956,0.0387911535207421,0.991510480999711,38604.4837129683,1
C00013,36103.367297321005,0.1721724739959016,0.9130466617128544,43612.18510284504,1
C00014,35789.7649221246,0.0600601008341623,0.986794481500403,38076.652511385786,1
C00015,34923.851541989505,0.0007243739857769,0.9952451628644942,34949.1678099756,1
C00016,34921.0831346048,0.0022160908491943,0.9984144437879152,34998.643307773375,1
C00017,34168.46172530145,1.7636947931766895e-09,0.9999962963711608,34168.461785564185,1
C00018,33945.29244423994,6.075203500914355e-06,0.9996922652503624,33945.4986700523,1
C00019,33912.84548051808,0.0972326966845417,0.9574405556576154,37565.43392297379,1
C00020,33907.24747696045,0.0356289076616745,0.9867658818766244,35159.95838774576,1
C00021,33757.93876671652,9.13673841785226e-05,0.9995147079769816,33761.02342311388,1
C00022,33509.4761679113,0.0205887868615222,0.9577408904000436,34213.898838805144,1
C00023,33282.44570668024,0.415135557919912,0.7124338982730031,56906.25606903067,1
C00024,32951.12645917092,0.0070670981901992,0.9934211099301878,33185.652725487795,1
C00025,32783.80901238926,3.9276053541618894e-05,0.9998258218163962,32785.09668160189,1
C00026,32749.65856036953,0.0031556571338541,0.9988885530758046,32853.33241317004,1
C00027,32720.758103301152,0.1087410411398207,0.9798689103673276,36712.96403589295,1
C00028,32674.446642263265,0.0025470753774909,0.9993363653731486,32757.88344059352,1
C00029,32468.082985223467,0.1104135065400127,0.9871308654718182,36497.94957985594,1
C00030,31918.75300597956,0.0032396610796758,0.9791173814874932,32022.495036824475,1
C00031,31848.130939735023,3.925661920406845e-06,0.999908582251145,31848.2559652207,1
C00032,31628.38702303261,0.0059783096200425,0.9982883777069732,31818.60851642271,1
C00033,31218.86424506036,0.0188485624345773,0.9964221068039788,31818.599096715592,1
C00034,30880.55442712584,3.67457908367117e-05,0.9997674200014364,30881.68919921784,1
C00035,30789.8788660354,0.0001660341066932,0.9993587084758982,30794.99188500365,1
C00036,30652.935265951164,0.0003212002762809,0.9991571296557998,30662.78416069513,1
C00037,30559.372586388632,0.0001470821375936,0.99986395323169,30563.86798542506,1
C00038,30552.347226246668,0.0057623432109136,0.9955567399013804,30729.4206949636,1
C00039,30327.064873397805,0.0003356029500991,0.999775693859651,30337.24614270118,1
C00040,30198.44066604965,0.0012337460764599,0.9921699137649852,30235.743896450746,1
C00041,29877.529310842645,5.972855019162404e-07,0.9999900513662356,29877.5471562684,1
C00042,29583.42027846019,0.0015339778914767,0.9969743711668556,29628.87031046588,1
C00043,29551.177239874723,0.0001331780470635,0.9963705124864262,29555.11333214904,1
C00044,28957.31299660157,0.1209499063993178,0.7998254731947585,32941.59594248986,1
C00045,28705.997233403705,0.0053608556099736,0.9965284040984392,28860.71536125595,1
C00046,28574.68693331536,0.0009734446353802,0.998639848744482,28602.5299126171,1
C00047,28466.648968141,9.567361034576673e-08,0.9999886543961168,28466.651691648345,1
C00048,28447.422388369152,0.0051015872740349,0.9906793798628318,28593.29357097357,1
C00049,28267.116322460697,0.0272578989012275,0.9875808491796644,29059.209312037838,1
C00050,28169.031657981617,1.6778550546538457e-05,0.9996220174334072,28169.504301433408,1
C00051,28102.90686774486,0.1121752660747851,0.910389706848906,31653.66518174981,1
C00052,28047.029816732665,5.9886885763476586e-15,0.9999999934657192,28047.029816732836,1
C00053,27993.585501665497,0.0144402452300345,0.9907599827021946,28403.742508945423,1
C00054,27988.82380628288,0.0420862575272002,0.968373334973252,29218.522049836472,1
C00056,27916.547357881904,0.0003195305753581,0.9992223574728278,27925.470399505804,1
C00057,27904.495169143735,1.5078889428359977e-08,0.9999866193800524,27904.49558991254,1
C00058,27878.799661487155,0.0010358847827625,0.9947701248034052,27907.708832388395,1
C00059,27872.98454212791,0.0201069687636956,0.993047108196876,28444.92577619552,1
C00060,27689.60298501769,0.0016501507282293,0.9975436283064708,27735.370526890347,1
C00061,27572.96913699765,0.0003201400742789,0.996314292697328,27581.79917623468,1
C00062,27505.036226814234,0.0003384805235956,0.9991469664349518,27514.349298171077,1
C00063,27374.326006853826,0.0882846539585691,0.8660073640808645,30025.0797858237,1
C00064,27185.635096282265,3.4115129180991825e-18,0.9999999992644348,27185.635096282265,1
C00065,27110.63064586825,0.0547716213289071,0.9850877258947732,28681.56654795256,1
C00066,27094.37190606105,0.0604475825058555,0.9797167321888754,28837.530936617382,1
C00067,27029.06886028285,0.0001908186792335,0.9983017633590988,27034.227495867708,1
